experiment,image_encoder,audio_encoder,K,alpha,scope,R@1,R@5,R@10,R@20,routes_correct,routes_total,knn_overlap,pearson_r,nmi,ami,ari,v_measure,homogeneity,completeness
d,dinov2-small,clap-fused,0,0.7,heldout_like_c,0.1290322580645161,0.1935483870967742,0.2580645161290322,0.3225806451612903,6,15,0.0064516129032258,0.3712652027606964,0.6706302239628954,0.0888517446800352,0.0546792849631966,0.6706302239628954,0.6530382580953967,0.6891962367856393
unsup,dinov2-small,clap-fused,0,1.0,aggregate,0.0075,0.035,0.0625,0.125,6,15,0.0885,0.6281492114067078,0.366750459705584,0.2909961335261595,0.1569378748069776,0.366750459705584,0.3666702811455081,0.3668306733380825
unsup,dinov2-small,clap-fused,0,1.0,heldout_like_c,0.0,0.032258064516129,0.064516129032258,0.2580645161290322,5,15,0.0258064516129032,0.3712908029556274,0.6503710339538669,0.0869214533265036,0.0687984496124031,0.6503710339538669,0.6205692673828862,0.683179551199286
text,dinov2-small,clap-fused,0,,aggregate,0.0625,0.1675,0.2325,0.32,3,15,0.0395,0.2920082807540893,0.2610771077184593,0.1741657750618566,0.0679472603915796,0.2610771077184593,0.2551110051697982,0.2673289426200337
text,dinov2-small,clap-fused,0,,heldout_like_c,0.032258064516129,0.0967741935483871,0.1612903225806451,0.2258064516129032,6,15,0.032258064516129,0.3954645991325378,0.6602369866855977,0.0252279673394118,0.0379310344827586,0.6602369866855977,0.6521502545828559,0.6685267895533153
c-direct,dinov2-small,clap-larger,300,0.5,aggregate,0.725,0.7725,0.7875,0.83,12,15,0.069,0.3141997158527374,0.2598931234108368,0.1716460986809562,0.0764891951796893,0.2598931234108368,0.2597284944062685,0.2600579612480877
c-direct,dinov2-small,clap-larger,300,0.5,heldout,0.04,0.12,0.17,0.32,3,15,0.026,0.3218922913074493,0.3692481593853784,0.0597386271370181,0.0256256705841255,0.3692481593853784,0.3683533950549403,0.3701472812305954
d,dinov2-small,clap-larger,0,0.7,aggregate,0.055,0.1525,0.24,0.3525,7,15,0.0405,0.3567942082881927,0.2506287765469778,0.1610433634238919,0.0782313223249833,0.2506287765469778,0.2508097551181317,0.2504480589674767
d,dinov2-small,clap-larger,0,0.7,heldout_like_c,0.12,0.16,0.24,0.36,5,15,0.008,0.1686163246631622,0.7373944575796908,0.0588378908158503,0.0357142857142857,0.7373944575796909,0.7227028364908864,0.752695797061429
unsup,dinov2-small,clap-larger,0,1.0,aggregate,0.0075,0.0175,0.035,0.0575,1,15,0.1085,0.6631737947463989,0.404505158023892,0.3335253779540564,0.1727560602776841,0.404505158023892,0.398476826023844,0.4107186903101238
