experiment,image_encoder,audio_encoder,K,alpha,scope,R@1,R@5,R@10,R@20,routes_correct,routes_total,knn_overlap,pearson_r,nmi,ami,ari,v_measure,homogeneity,completeness,cap_cos_argmax,cap_cos_planmass,cap_cos_chance,cap_cos_identity,cap_cos_lift
d,clip-base,clap-unfused,0,0.7,heldout_like_c,0.08695652173913043,0.08695652173913043,0.21739130434782608,0.391304347826087,5,15,0.0,0.1901141107082367,0.7321956652833894,0.10358013960634734,0.0827178729689808,0.7321956652833893,0.6619225963686536,0.8191620770828782,0.474945502785479,0.4424225300201122,0.1959103363806153,0.5599622336571964,0.2790351664048637
unsup,clip-base,clap-unfused,0,1.0,aggregate,0.0025,0.02,0.05,0.0925,2,15,0.09450000000000001,0.6867650747299194,0.3962441089427063,0.3286796273446674,0.22020228496233787,0.39624410894270634,0.40207350312480916,0.39058133204503415,0.26471914138932157,0.24592395174891685,0.21744189226661895,0.38759736589986515,0.04727724912270262
unsup,clip-base,clap-unfused,0,1.0,heldout_like_c,0.0,0.0,0.08695652173913043,0.17391304347826086,1,15,0.06956521739130435,0.40401795506477356,0.7442091703309431,0.10706171329206744,0.0827178729689808,0.7442091703309432,0.6792192654708583,0.8229518783117484,0.2888017581939235,0.22215331440053115,0.1959103363806153,0.5599622336571964,0.0928914218133082
text,clip-base,clap-unfused,0,nan,aggregate,0.0625,0.1675,0.2325,0.32,3,15,0.023000000000000003,0.3356451988220215,0.28300829994133475,0.2009139694733155,0.10571776667463258,0.2830082999413348,0.28238456512650384,0.2836347962835135,0.6260784439604461,0.36467121365230853,0.21744189226661895,0.38759736589986515,0.4086365516938272
text,clip-base,clap-unfused,0,nan,heldout_like_c,0.043478260869565216,0.08695652173913043,0.17391304347826086,0.21739130434782608,4,15,0.034782608695652174,0.2555527985095978,0.7569685775599202,0.11112585456431141,0.0827178729689808,0.7569685775599201,0.6979559767911448,0.8268819472549638,0.5599622336571964,0.29294931904737537,0.1959103363806153,0.5599622336571964,0.36405189727658116
c-direct,clip-base,mert-330m,300,0.5,aggregate,0.23,0.355,0.415,0.4925,8,15,0.0635,0.5522300601005554,0.31286379317521823,0.23574646728591425,0.13410795363387593,0.3128637931752182,0.3225510372575482,0.30374146110442507,0.30458827640155106,0.27300275284283226,0.21744189226661895,0.38759736589986515,0.08714638413493211
c-direct,clip-base,mert-330m,300,0.5,heldout,0.03,0.06,0.12,0.19,3,15,0.07,0.4157578945159912,0.4958157106410996,0.23475401551424133,0.15668696331717663,0.49581571064109964,0.4947578797396786,0.4968780746845312,0.2569625513062399,0.24590338717038912,0.20745899699861403,0.603754092596457,0.049503554307625874
c-transitive,clip-base,mert-330m,300,0.7,aggregate,0.015,0.06,0.125,0.1825,3,15,0.015,0.3371060788631439,0.31921172584853047,0.24714984964907394,0.15521981870027896,0.3192117258485305,0.294562386433779,0.3483631813358021,0.25458311787547167,0.31892040935877747,0.21744189226661895,0.38759736589986515,0.03714122560885272
c-transitive,clip-base,mert-330m,300,0.7,heldout_like_c,0.0,0.05,0.05,0.15,4,15,0.01,0.3494483232498169,0.6290501223468614,0.20616815558129142,0.11644345238095238,0.6290501223468614,0.47096780993968135,0.9468714938864029,0.14331233084993228,0.2725643530053301,0.19768180143828906,0.5833116496478549,-0.05436947058835678
procrustes,clip-base,mert-330m,300,nan,aggregate,0.5925,0.6575,0.685,0.71,2,15,0.057,0.43652305006980896,0.30210487261697094,0.22400731861344766,0.12744946814062155,0.30210487261697105,0.3065909654422324,0.2977481691394741,0.3796220513312642,0.22143186786642147,0.21744189226661895,0.38759736589986515,0.16218015906464525
procrustes,clip-base,mert-330m,300,nan,heldout,0.01,0.08,0.11,0.15,1,15,0.05000000000000001,0.459494948387146,0.3960370952308168,0.12867891416645066,0.07965256093436786,0.39603709523081687,0.37675956104659414,0.4173937455456357,0.3267163498501523,0.20982681408265105,0.20745899699861403,0.603754092596457,0.11925735285153827
d,clip-base,mert-330m,0,0.7,aggregate,0.055,0.15,0.2175,0.3325,7,15,0.020500000000000004,0.4648492634296417,0.20127418907815972,0.11176652941140693,0.04532492200505019,0.20127418907815975,0.2074274425964956,0.19547548566242826,0.5257521099201959,0.48610396243213544,0.21744189226661895,0.38759736589986515,0.308310217653577
d,clip-base,mert-330m,0,0.7,heldout_like_c,0.0,0.15,0.35,0.5,2,15,0.030000000000000006,0.09638411551713943,0.7336177826048839,-0.062079036085180374,-0.04896783485357657,0.7336177826048838,0.6616226593257056,0.8231945059929655,0.48045867812638987,0.4292109002004067,0.19768180143828906,0.5833116496478549,0.2827768766881008
unsup,clip-base,mert-330m,0,1.0,aggregate,0.0025,0.02,0.035,0.07,2,15,0.10100000000000002,0.7887922525405884,0.3892292764037584,0.3209854904122526,0.19115106521219893,0.3892292764037584,0.39137417774511735,0.38710775691099913,0.2202460653340232,0.21615949019338615,0.21744189226661895,0.38759736589986515,0.002804173067404242
unsup,clip-base,mert-330m,0,1.0,heldout_like_c,0.0,0.0,0.05,0.05,1,15,0.07,0.6039016246795654,0.8203983712406583,0.30758543288518164,0.24841772151898733,0.8203983712406583,0.7322452607074682,0.932681478994197,0.15616018224176334,0.17640754654888685,0.19768180143828906,0.5833116496478549,-0.04152161919652572
text,clip-base,mert-330m,0,nan,aggregate,0.0625,0.1675,0.2325,0.32,4,15,0.011500000000000002,0.32479405403137207,0.19046636844378936,0.10329954289011141,0.0627439208951981,0.1904663684437894,0.18405768426538038,0.19733743893316533,0.6260784439604461,0.36467121365230853,0.21744189226661895,0.38759736589986515,0.4086365516938272
text,clip-base,mert-330m,0,nan,heldout_like_c,0.0,0.1,0.25,0.3,5,15,0.01,0.16948774456977844,0.7182751889587147,0.03267430476330539,0.022943037974683545,0.7182751889587146,0.6252226361481283,0.8438691335373719,0.5833116496478549,0.3088439469585726,0.19768180143828906,0.5833116496478549,0.3856298482095658
c-direct,clip-base,mert-95m,300,0.5,aggregate,0.4425,0.545,0.595,0.665,9,15,0.05550000000000001,0.5376251339912415,0.2311097126905191,0.1456152308291766,0.06887238690198214,0.2311097126905191,0.2356980074679755,0.22669664595368014,0.3179199843020817,0.28841887069860117,0.21744189226661895,0.38759736589986515,0.10047809203546273
c-direct,clip-base,mert-95m,300,0.5,heldout,0.05,0.08,0.12,0.18,5,15,0.038000000000000006,0.4599025845527649,0.38183145350880715,0.10314466297719989,0.06292103366935858,0.38183145350880715,0.3630164876935005,0.40270337094187236,0.2568967207847127,0.24734595359400163,0.20745899699861403,0.603754092596457,0.049437723786098675
c-transitive,clip-base,mert-95m,300,0.7,aggregate,0.02,0.065,0.115,0.18,4,15,0.0085,0.24771203100681305,0.2672538124339836,0.18614429006140115,0.09756556530729571,0.26725381243398355,0.25895152065493915,0.27610610030991223,0.358504341482144,0.33543845044194015,0.21744189226661895,0.38759736589986515,0.14106244921552505
c-transitive,clip-base,mert-95m,300,0.7,heldout_like_c,0.0,0.038461538461538464,0.15384615384615385,0.19230769230769232,4,15,0.007692307692307693,0.04387582093477249,0.5801001446662001,-0.0202468734447634,-0.01551921674825539,0.5801001446662002,0.5019703414623029,0.6870344891901069,0.33557190067902837,0.31639000618655727,0.22090678392279223,0.6076263127174166,0.11466511675623614
procrustes,clip-base,mert-95m,300,nan,aggregate,0.7,0.735,0.75,0.7675,3,15,0.038,0.28081685304641724,0.22335228378976005,0.13873540860191058,0.07060831545230556,0.22335228378976008,0.22503303367974656,0.22169645448597008,0.383148208591728,0.2206620984246026,0.21744189226661895,0.38759736589986515,0.16570631632510904
