K,alpha,scope,R@1,R@5,R@10,R@20,routes_correct,routes_total,knn_overlap,pearson_r,nmi
20,0.5,heldout,0.02894736842105263,0.13157894736842105,0.24736842105263157,0.38421052631578945,5,10,0.08368421052631579,0.6710872650146484,0.34584470698261727
20,0.7,aggregate,0.07,0.1775,0.2775,0.3975,7,10,0.10300000000000001,0.715769350528717,0.3198464262975589
20,0.7,heldout,0.02368421052631579,0.13421052631578947,0.2394736842105263,0.36578947368421055,5,10,0.08947368421052632,0.7177596688270569,0.3400088099212723
20,0.9,aggregate,0.0575,0.1375,0.2025,0.3625,8,10,0.11699999999999999,0.7304220199584961,0.38170726055225135
20,0.9,heldout,0.031578947368421054,0.10789473684210527,0.1736842105263158,0.33421052631578946,5,10,0.10210526315789473,0.7235637903213501,0.3875467842044394
50,0.0,aggregate,0.1875,0.3575,0.5075,0.64,8,10,0.114,0.5512182116508484,0.3105126291203818
50,0.0,heldout,0.08285714285714285,0.26571428571428574,0.43714285714285717,0.5885714285714285,9,10,0.06800000000000002,0.5558266639709473,0.27726233026255054
50,0.3,aggregate,0.205,0.3725,0.5,0.655,7,10,0.1115,0.6263430714607239,0.3187324019656614
50,0.3,heldout,0.1,0.28285714285714286,0.42857142857142855,0.6057142857142858,9,10,0.07771428571428572,0.6342449188232422,0.27941590125037535
50,0.5,aggregate,0.1975,0.375,0.485,0.645,7,10,0.113,0.657856285572052,0.31067142807413795
50,0.5,heldout,0.09142857142857143,0.2857142857142857,0.4114285714285714,0.5942857142857143,9,10,0.08,0.6685342192649841,0.2802484605241617
50,0.7,aggregate,0.1875,0.355,0.4725,0.625,7,10,0.113,0.6789384484291077,0.2956275938334952
50,0.7,heldout,0.08571428571428572,0.26571428571428574,0.4,0.5742857142857143,9,10,0.0862857142857143,0.6868919134140015,0.27287896748725293
50,0.9,aggregate,0.1125,0.29,0.3925,0.5175,8,10,0.11349999999999999,0.7122047543525696,0.3291754471860799
50,0.9,heldout,0.04857142857142857,0.22285714285714286,0.3314285714285714,0.46,9,10,0.09942857142857142,0.699042558670044,0.2753129314874191
100,0.0,aggregate,0.385,0.58,0.69,0.7925,7,10,0.13649999999999998,0.5505526661872864,0.3027705977162759
100,0.0,heldout,0.19666666666666666,0.44,0.5866666666666667,0.7233333333333334,8,10,0.08866666666666667,0.56296706199646,0.35915724199356036
100,0.3,aggregate,0.39,0.59,0.6925,0.8025,7,10,0.1275,0.5860801339149475,0.29664064529978207
100,0.3,heldout,0.19666666666666666,0.4533333333333333,0.59,0.7366666666666667,8,10,0.08666666666666667,0.5989799499511719,0.35763497791054255
100,0.5,aggregate,0.385,0.59,0.6925,0.8,6,10,0.1185,0.6092031598091125,0.3023623242687554
100,0.5,heldout,0.19666666666666666,0.4533333333333333,0.59,0.7333333333333333,8,10,0.08533333333333334,0.6281906366348267,0.3609703910450697
100,0.7,aggregate,0.3675,0.5675,0.6675,0.7725,7,10,0.135,0.6587746143341064,0.3026711440338705
100,0.7,heldout,0.19666666666666666,0.4266666666666667,0.56,0.6966666666666667,8,10,0.08733333333333332,0.673047661781311,0.3587371078530326
100,0.9,aggregate,0.245,0.445,0.54,0.6475,8,10,0.11549999999999999,0.7137424945831299,0.3212229544684009
100,0.9,heldout,0.12,0.33,0.43333333333333335,0.5566666666666666,6,10,0.08399999999999999,0.6972960829734802,0.35635744374713063
160,0.0,aggregate,0.5675,0.765,0.845,0.895,7,10,0.1335,0.569021999835968,0.3010199686144326
160,0.0,heldout,0.31666666666666665,0.6083333333333333,0.7416666666666667,0.825,9,10,0.1,0.612244188785553,0.35228893217683493
160,0.3,aggregate,0.55,0.7775,0.84,0.895,6,10,0.127,0.589144766330719,0.304544737480114
160,0.3,heldout,0.2875,0.6291666666666667,0.7333333333333333,0.825,9,10,0.10416666666666667,0.6351710557937622,0.3494567211557536
160,0.5,aggregate,0.5475,0.7725,0.84,0.9025,7,10,0.129,0.6061786413192749,0.30746128274517726
160,0.5,heldout,0.29583333333333334,0.6208333333333333,0.7333333333333333,0.8375,9,10,0.10250000000000001,0.654616117477417,0.3539090800795323
160,0.7,aggregate,0.5,0.7525,0.8175,0.885,7,10,0.1355,0.6379030346870422,0.3117721203876635
160,0.7,heldout,0.24166666666666667,0.6,0.7041666666666667,0.8083333333333333,9,10,0.09666666666666666,0.6802548766136169,0.348957175275167
160,0.9,aggregate,0.3625,0.595,0.6775,0.7725,9,10,0.127,0.7071084380149841,0.30347823147451514
160,0.9,heldout,0.1875,0.425,0.5375,0.6625,8,10,0.0925,0.7069652080535889,0.34724981191748006
200,0.0,aggregate,0.65,0.8225,0.875,0.92,7,10,0.14450000000000002,0.5691716074943542,0.2899000200090431
200,0.0,heldout,0.365,0.65,0.75,0.84,9,10,0.09600000000000002,0.6082555651664734,0.36818195835613243
200,0.3,aggregate,0.6425,0.825,0.8775,0.925,7,10,0.14550000000000002,0.5881574153900146,0.29926259958335755
200,0.3,heldout,0.35,0.655,0.755,0.85,9,10,0.09700000000000002,0.6381264925003052,0.37282007246435817
200,0.5,aggregate,0.6425,0.825,0.8775,0.9175,8,10,0.1425,0.6047323942184448,0.3029704850681835
200,0.5,heldout,0.345,0.65,0.755,0.835,10,10,0.102,0.6632052659988403,0.37833553020855126
200,0.7,aggregate,0.605,0.7875,0.875,0.9175,8,10,0.1315,0.6214648485183716,0.31352228028966034
200,0.7,heldout,0.305,0.605,0.76,0.835,9,10,0.09100000000000001,0.6627563834190369,0.37818041339515485
200,0.9,aggregate,0.4425,0.6575,0.745,0.8225,9,10,0.1275,0.6936405301094055,0.3078882840862777
200,0.9,heldout,0.2,0.445,0.58,0.695,9,10,0.09399999999999999,0.6997767686843872,0.3763491423006937
300,0.0,aggregate,0.8425,0.9275,0.95,0.9675,9,10,0.14350000000000002,0.5600777864456177,0.2981215164402261
300,0.0,heldout,0.51,0.71,0.8,0.87,8,10,0.08199999999999999,0.5811459422111511,0.40276131943167115
300,0.3,aggregate,0.8475,0.9275,0.945,0.965,9,10,0.14850000000000002,0.5737661719322205,0.2963442207901902
300,0.3,heldout,0.52,0.71,0.78,0.86,8,10,0.08,0.6102609634399414,0.39133266368843966
300,0.5,aggregate,0.83,0.915,0.945,0.965,8,10,0.147,0.5870242714881897,0.30020292727894277
300,0.5,heldout,0.5,0.69,0.78,0.86,7,10,0.086,0.6173869967460632,0.4064364369780622
300,0.7,aggregate,0.76,0.8975,0.93,0.9575,8,10,0.14100000000000001,0.6098372936248779,0.29803437939133437
300,0.7,heldout,0.37,0.66,0.76,0.85,7,10,0.066,0.6225168704986572,0.36513014037707814
300,0.9,aggregate,0.5725,0.77,0.835,0.89,9,10,0.13149999999999998,0.6839587092399597,0.290497837103086
300,0.9,heldout,0.18,0.49,0.57,0.68,6,10,0.064,0.6301659941673279,0.37549013391303904
400,0.0,aggregate,0.985,0.9975,1.0,1.0,10,10,0.14150000000000001,0.5530593991279602,0.285817559682058
400,0.0,heldout,nan,nan,nan,nan,0,10,nan,nan,nan
400,0.3,aggregate,0.9775,0.995,0.9975,1.0,9,10,0.13899999999999998,0.5540388226509094,0.285817559682058
400,0.3,heldout,nan,nan,nan,nan,0,10,nan,nan,nan
400,0.5,aggregate,0.9575,0.995,0.9975,1.0,9,10,0.14400000000000002,0.5580273866653442,0.285817559682058
400,0.5,heldout,nan,nan,nan,nan,0,10,nan,nan,nan
400,0.7,aggregate,0.895,0.975,0.99,0.9975,9,10,0.14450000000000002,0.5838636159896851,0.29034984372214373
400,0.7,heldout,nan,nan,nan,nan,0,10,nan,nan,nan
400,0.9,aggregate,0.65,0.8475,0.895,0.93,9,10,0.132,0.6651942133903503,0.2897666357825917
400,0.9,heldout,nan,nan,nan,nan,0,10,nan,nan,nan
