K,alpha,scope,R@1,R@5,R@10,R@20,routes_correct,routes_total,knn_overlap,pearson_r,nmi,ami,ari,v_measure,homogeneity,completeness
100,0.5,aggregate,0.3225,0.4475,0.525,0.64,8,10,0.1305,0.6234935522079468,0.3476342063948071,0.3123907090567583,0.16887636467722023,0.3476342063948071,0.3492305697740851,0.34605237083992263
100,0.5,heldout,0.10666666666666667,0.2633333333333333,0.36666666666666664,0.52,7,10,0.07200000000000001,0.5853062868118286,0.2797640175428797,0.22658668554686728,0.14112328828754328,0.2797640175428797,0.2789163366419434,0.2806168666847881
100,0.7,aggregate,0.32,0.4475,0.52,0.6525,8,10,0.11449999999999999,0.6528496742248535,0.35802670475497866,0.3234084778152927,0.17508650644580362,0.35802670475497866,0.3609475897517806,0.3551527134560736
100,0.7,heldout,0.10666666666666667,0.26666666666666666,0.36333333333333334,0.5366666666666666,7,10,0.07200000000000001,0.6190739274024963,0.2954893441972078,0.24355793352365002,0.1551876662197801,0.29548934419720774,0.29562571939284293,0.2953530947661268
100,0.9,aggregate,0.2325,0.395,0.49,0.6,9,10,0.11699999999999999,0.7132211923599243,0.3957825130076439,0.3632328052317332,0.19712743358207604,0.3957825130076439,0.39791521258876783,0.393672552740312
100,0.9,heldout,0.07,0.23666666666666666,0.3433333333333333,0.4866666666666667,7,10,0.07666666666666667,0.6620178818702698,0.32737083121335303,0.2779880231805648,0.17200433013600677,0.32737083121335303,0.3272946709243619,0.32744702695504285
160,0.0,aggregate,0.465,0.6175,0.6975,0.7575,8,10,0.136,0.5760833621025085,0.3284924054637314,0.2921583460527043,0.15541689662044594,0.3284924054637314,0.329731336931984,0.32726274945813855
160,0.0,heldout,0.12083333333333333,0.3625,0.49583333333333335,0.5958333333333333,8,10,0.07250000000000001,0.49673789739608765,0.26229589099674083,0.19101687489683988,0.11447877161414767,0.26229589099674083,0.2638587133487428,0.2607514726803984
160,0.3,aggregate,0.4725,0.615,0.695,0.77,8,10,0.136,0.5981994867324829,0.32908420096463187,0.29280056341747024,0.15309106052119115,0.3290842009646318,0.33040749570580924,0.32777146363339316
160,0.3,heldout,0.13333333333333333,0.35833333333333334,0.49166666666666664,0.6166666666666667,8,10,0.07166666666666668,0.5238104462623596,0.2722730272823482,0.20199271813321493,0.11916852302951769,0.2722730272823482,0.27410766463197483,0.27046278557036374
160,0.5,aggregate,0.465,0.615,0.69,0.77,8,10,0.138,0.6159112453460693,0.341187134869568,0.3055103280563964,0.1594032707545972,0.34118713486956803,0.3418725390106475,0.34050447349855706
