K,alpha,scope,R@1,R@5,R@10,R@20,routes_correct,routes_total,knn_overlap,pearson_r,nmi,ami,ari,v_measure,homogeneity,completeness,cap_cos_argmax,cap_cos_planmass,cap_cos_chance,cap_cos_identity,cap_cos_lift
160,0.3,heldout,0.016666666666666666,0.0375,0.08333333333333333,0.12916666666666668,6,15,0.03166666666666667,0.47364431619644165,0.2813625035602735,0.12678388713635116,0.059774629835504106,0.2813625035602735,0.2845410779339753,0.2782541595998793,0.26186636586539364,0.23017966026169948,0.20283337563841378,0.5956067974828565,0.05903299022697986
160,0.5,aggregate,0.205,0.295,0.35,0.3925,5,15,0.0575,0.547756016254425,0.29954510601830564,0.21501896677949736,0.09315525810329564,0.29954510601830564,0.305362547126234,0.293945176462044,0.29945380159601676,0.25312201413658675,0.21744189226661895,0.38759736589986515,0.08201190932939781
160,0.5,heldout,0.016666666666666666,0.04583333333333333,0.07083333333333333,0.1,6,15,0.0475,0.5523279905319214,0.3007253687110668,0.15048033852957554,0.06463086538767294,0.3007253687110668,0.3035280687462982,0.2979739539418812,0.2525778303028918,0.22739584897137918,0.20283337563841378,0.5956067974828565,0.04974445466447805
160,0.7,aggregate,0.135,0.2075,0.2525,0.3175,5,15,0.07,0.6033952832221985,0.3294815182210261,0.24850446211132893,0.10372539155361461,0.3294815182210261,0.33521788060241237,0.3239381779477246,0.303441953777484,0.24865718288244615,0.21744189226661895,0.38759736589986515,0.08600006151086506
160,0.7,heldout,0.0125,0.05,0.07083333333333333,0.09166666666666666,5,15,0.05500000000000001,0.5895348787307739,0.31850611081388447,0.17216551031057176,0.07675896998499843,0.31850611081388447,0.3209583557067963,0.3160910539723455,0.25587997341456137,0.22421725269981146,0.20283337563841378,0.5956067974828565,0.05304659777614759
160,0.9,aggregate,0.065,0.115,0.1425,0.2075,4,15,0.106,0.6591476798057556,0.39054081461527085,0.3172370060307285,0.14919161780528337,0.39054081461527085,0.396061527583632,0.3851718925808769,0.2719301735759583,0.24298896362057829,0.21744189226661895,0.38759736589986515,0.05448828130933933
160,0.9,heldout,0.004166666666666667,0.0375,0.05416666666666667,0.10416666666666667,3,15,0.09333333333333332,0.6408268213272095,0.37119501996995236,0.23790862067559573,0.12281186392159323,0.37119501996995224,0.3718494273162223,0.37054291192336736,0.23952802642839807,0.22019039254470998,0.20283337563841378,0.5956067974828565,0.036694650789984296
200,0.0,aggregate,0.385,0.4825,0.5175,0.5525,3,15,0.0435,0.275104284286499,0.2478188097707124,0.15729723737456644,0.06504869574096517,0.24781880977071236,0.2524366308652334,0.2433669011628138,0.3222802743593568,0.2630480496334578,0.21744189226661895,0.38759736589986515,0.10483838209273785
200,0.0,heldout,0.01,0.07,0.095,0.135,1,15,0.047000000000000014,0.30226677656173706,0.299267794622898,0.1188835192259175,0.061507187223005834,0.29926779462289793,0.3069516068314965,0.2919592800857258,0.24997644882091075,0.2324163638683708,0.20286677778360718,0.5943156601720918,0.04710967103730357
200,0.3,aggregate,0.3375,0.435,0.485,0.535,5,15,0.04650000000000001,0.42480000853538513,0.2775791696577163,0.19059646762965876,0.07864301689848034,0.2775791696577163,0.28284875888362143,0.27250233851745176,0.31227819723123973,0.2572158262820481,0.21744189226661895,0.38759736589986515,0.09483630496462078
200,0.3,heldout,0.015,0.045,0.095,0.145,2,15,0.044000000000000004,0.4556826651096344,0.3399564215314805,0.17036037329096299,0.07922128334941192,0.3399564215314805,0.3486088694407324,0.331723077797165,0.2389619639653288,0.22869426292188685,0.20286677778360718,0.5943156601720918,0.03609518618172161
200,0.5,aggregate,0.2675,0.35,0.4325,0.48,4,15,0.0555,0.5072018504142761,0.2889953344685973,0.2032718087414982,0.07884869483639063,0.2889953344685974,0.2946270416661945,0.28357488590096175,0.3043527481376809,0.25268889979685416,0.21744189226661895,0.38759736589986515,0.08691085587106193
200,0.5,heldout,0.015,0.05,0.09,0.12,2,15,0.05,0.5138888955116272,0.3386294733250416,0.16790581890337264,0.08355842765129254,0.3386294733250416,0.3475387219487995,0.3301655896217933,0.24958525239367227,0.2253011688564532,0.20286677778360718,0.5943156601720918,0.04671847461006509
200,0.7,aggregate,0.165,0.2525,0.3,0.365,4,15,0.07250000000000001,0.5879751443862915,0.3264297264367611,0.24516172349503793,0.10201520157753577,0.3264297264367611,0.33261606103346225,0.3204693095799339,0.295192201506378,0.24797165683083106,0.21744189226661895,0.38759736589986515,0.07775030923975904
200,0.7,heldout,0.01,0.055,0.08,0.115,2,15,0.05800000000000001,0.573032557964325,0.36672708206534615,0.20366579339555818,0.09118805184264615,0.36672708206534615,0.3758228886272523,0.3580611517242921,0.24130706296491275,0.22158225944618437,0.20286677778360718,0.5943156601720918,0.03844028518130557
200,0.9,aggregate,0.0725,0.125,0.1575,0.225,4,15,0.09849999999999999,0.6524052619934082,0.3882250029240662,0.3144060708145635,0.14670975823906673,0.3882250029240662,0.39468563245595706,0.3819724757124687,0.2757723366279909,0.24253820242345142,0.21744189226661895,0.38759736589986515,0.05833044436137194
200,0.9,heldout,0.01,0.04,0.05,0.095,1,15,0.08199999999999999,0.6322211027145386,0.395728697422914,0.2418508201840143,0.12392015389365295,0.395728697422914,0.4036009574395742,0.38815765981947936,0.23955484092086757,0.217844249274089,0.20286677778360718,0.5943156601720918,0.03668806313726039
300,0.0,aggregate,0.585,0.7,0.7175,0.745,8,15,0.0325,0.2628646492958069,0.22018070977476664,0.1263208130134931,0.045299597629321696,0.22018070977476664,0.2243428289455374,0.21617021301860442,0.3493858177302516,0.2762785042005429,0.21744189226661895,0.38759736589986515,0.13194392546363268
300,0.0,heldout,0.01,0.06,0.08,0.12,4,15,0.018000000000000002,0.31979620456695557,0.3973698167175624,0.08180408453481487,0.036820712334764506,0.39736981671756233,0.4115952091102374,0.3840948799299536,0.22422641028411439,0.2165177419269345,0.18908910790211433,0.5670053080995435,0.03513730238200005
300,0.3,aggregate,0.53,0.65,0.6925,0.715,7,15,0.038,0.3859821557998657,0.25285143337444727,0.16285482134206697,0.06058826130814551,0.25285143337444727,0.25742106173523366,0.2484412114669822,0.33864024725981595,0.26604230947764707,0.21744189226661895,0.38759736589986515,0.121198354993197
300,0.3,heldout,0.01,0.07,0.09,0.13,5,15,0.026000000000000006,0.4573221206665039,0.42408448514149183,0.1258145236902568,0.07308668991026447,0.42408448514149183,0.43738445812916243,0.41156949281549804,0.22661836712164032,0.21292511073500697,0.18908910790211433,0.5670053080995435,0.03752925921952599
300,0.5,aggregate,0.4225,0.54,0.6075,0.655,6,15,0.054000000000000006,0.4668825566768646,0.29005731103511717,0.20467424714409083,0.08273634029666553,0.29005731103511717,0.2950681633639383,0.2852138055699432,0.31743456652757923,0.25915765119659384,0.21744189226661895,0.38759736589986515,0.09999267426096028
300,0.5,heldout,0.01,0.05,0.06,0.12,6,15,0.038000000000000006,0.5238492488861084,0.4505713861407474,0.16641872295259588,0.10039775244528656,0.4505713861407474,0.46467733604337896,0.4372966173945858,0.21836506440111558,0.20966312897138728,0.18908910790211433,0.5670053080995435,0.02927595649900125
300,0.7,aggregate,0.28,0.395,0.4525,0.515,4,15,0.065,0.565473198890686,0.3171319069401656,0.23502925534302782,0.10181661312089821,0.3171319069401655,0.3225784467660172,0.31186623623884496,0.3044449892491183,0.2523474553674617,0.21744189226661895,0.38759736589986515,0.08700309698249933
300,0.7,heldout,0.01,0.04,0.05,0.08,4,15,0.046000000000000006,0.5961364507675171,0.4597373084164875,0.19044112054844659,0.10944368652417766,0.4597373084164876,0.4662979430771917,0.45335872365052,0.22715404180524806,0.2057937881124742,0.18908910790211433,0.5670053080995435,0.03806493390313373
300,0.9,aggregate,0.12,0.2,0.25,0.315,4,15,0.099,0.6422362327575684,0.3600279930091107,0.28310784413641055,0.13221382827023248,0.36002799300911065,0.36389997156129045,0.3562375444262715,0.28289609042248365,0.24450384029885672,0.21744189226661895,0.38759736589986515,0.0654541981558647
300,0.9,heldout,0.01,0.03,0.05,0.1,3,15,0.078,0.647539496421814,0.4262617559741048,0.13173990582873962,0.05752159068085961,0.4262617559741048,0.4378498965162262,0.4152711839070634,0.226499409249576,0.20146982381353878,0.18908910790211433,0.5670053080995435,0.03741030134746168
400,0.0,aggregate,0.7925,0.91,0.9425,0.96,9,15,0.0335,0.23383955657482147,0.19600009799472318,0.09929971786286765,0.033563151903695604,0.19600009799472318,0.1987061352063536,0.1933667737408333,0.36312034164131335,0.3300121290860888,0.21744189226661895,0.38759736589986515,0.1456784493746944
400,0.0,heldout,nan,nan,nan,nan,0,15,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
400,0.3,aggregate,0.7425,0.865,0.9,0.9325,10,15,0.038000000000000006,0.2735748291015625,0.20765839517675008,0.11233427581134398,0.03621865900601185,0.2076583951767501,0.21057181637842587,0.20482449257031385,0.35771008091801804,0.31073951844081354,0.21744189226661895,0.38759736589986515,0.1402681886513991
400,0.3,heldout,nan,nan,nan,nan,0,15,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
