K,alpha,scope,R@1,R@5,R@10,R@20,routes_correct,routes_total,knn_overlap,pearson_r,nmi,ami,ari,v_measure,homogeneity,completeness
160,0.0,heldout,0.016666666666666666,0.06666666666666667,0.11666666666666667,0.2,3,20,0.04916666666666667,0.32106226682662964,0.3394384617470078,0.14475621235406802,0.0617750258315442,0.3394384617470078,0.3505917627179927,0.3289729165191466
160,0.3,aggregate,0.1125,0.24,0.2825,0.3825,8,20,0.07550000000000001,0.5410785675048828,0.34300209546784927,0.2213919697308526,0.07975808577490111,0.34300209546784927,0.3528718831421055,0.33366939915404065
160,0.3,heldout,0.004166666666666667,0.06666666666666667,0.09583333333333334,0.2125,3,20,0.058333333333333334,0.5277459621429443,0.3706506821676475,0.18308161787498725,0.0841137156926979,0.3706506821676475,0.3834395642407584,0.3586873617431336
160,0.5,aggregate,0.0875,0.1875,0.245,0.3475,8,20,0.0765,0.6113764643669128,0.3469122254770611,0.22563005472572356,0.08751204250051141,0.3469122254770611,0.35795624897094164,0.33652928797164694
160,0.5,heldout,0.0,0.04583333333333333,0.09583333333333334,0.19166666666666668,3,20,0.06833333333333333,0.5906970500946045,0.3837641332134573,0.20085703102130717,0.09202276717910464,0.38376413321345737,0.39703682149154457,0.37135013453399135
160,0.7,aggregate,0.0625,0.155,0.215,0.29,8,20,0.08800000000000001,0.6634538173675537,0.34810644507805394,0.22935969498676625,0.0893831932880951,0.34810644507805394,0.35730473867775564,0.3393698590097773
160,0.7,heldout,0.008333333333333333,0.05416666666666667,0.09166666666666666,0.17083333333333334,3,20,0.07,0.6357443928718567,0.38036064376871404,0.20093664709571005,0.0967583005215881,0.38036064376871404,0.3912817321706678,0.3700326400781678
160,0.9,aggregate,0.0375,0.0825,0.115,0.1825,8,20,0.09949999999999999,0.7260313034057617,0.3885365043055481,0.27727100792859666,0.1248967573410364,0.38853650430554804,0.39930312421675296,0.3783352521444506
160,0.9,heldout,0.016666666666666666,0.0375,0.07083333333333333,0.1375,3,20,0.0825,0.6887116432189941,0.3857058479860299,0.20149142083852067,0.09276893210594034,0.38570584798602997,0.40073683218141004,0.3717616746354653
200,0.0,aggregate,0.1725,0.295,0.3775,0.46,9,20,0.053500000000000006,0.35269027948379517,0.3133213276953139,0.18640555270009806,0.07002522461767492,0.3133213276953139,0.32243165432546195,0.30471168005048627
200,0.0,heldout,0.02,0.09,0.15,0.25,4,20,0.047,0.31657034158706665,0.3484408139779447,0.11720290281400338,0.05077226301812323,0.3484408139779447,0.35852929830157376,0.3389045412987093
200,0.3,aggregate,0.145,0.265,0.35,0.4525,8,20,0.07200000000000001,0.49750781059265137,0.32669846680890136,0.20270005220811596,0.07301852366818572,0.32669846680890136,0.33494558029619403,0.318847718874281
200,0.3,heldout,0.01,0.07,0.14,0.25,3,20,0.05,0.4827728867530823,0.3653055909129893,0.14081092425439967,0.06325703566064468,0.36530559091298936,0.3744095508151974,0.35663385612715837
200,0.5,aggregate,0.1175,0.2225,0.3,0.4075,9,20,0.07800000000000001,0.5838250517845154,0.32344022611756157,0.1987732813253602,0.07367971332486321,0.32344022611756157,0.3322695119630468,0.3150680294734581
200,0.5,heldout,0.015,0.05,0.115,0.235,3,20,0.05800000000000001,0.5551319122314453,0.3739156922707064,0.15002798700381778,0.07362442377248862,0.37391569227070637,0.38507642406004555,0.36338368462919
200,0.7,aggregate,0.0775,0.165,0.235,0.33,9,20,0.081,0.6456301808357239,0.3272213377990802,0.2031846635001082,0.07874900315709277,0.32722133779908025,0.33710158870956036,0.31790376393337527
