K,alpha,scope,R@1,R@5,R@10,R@20,routes_correct,routes_total,knn_overlap,pearson_r,nmi
300,0.9,heldout,0.03,0.14,0.25,0.4,6,20,0.062,0.6364946365356445,0.565509309747538
400,0.0,aggregate,0.455,0.6875,0.7825,0.85,14,20,0.1335,0.5444101095199585,0.4506833215664144
400,0.0,heldout,nan,nan,nan,nan,0,20,nan,nan,nan
400,0.3,aggregate,0.425,0.645,0.76,0.835,15,20,0.125,0.5628949403762817,0.44669892906297104
400,0.3,heldout,nan,nan,nan,nan,0,20,nan,nan,nan
400,0.5,aggregate,0.3825,0.6,0.7125,0.8225,15,20,0.12050000000000001,0.5932052731513977,0.44907133309839614
400,0.5,heldout,nan,nan,nan,nan,0,20,nan,nan,nan
400,0.7,aggregate,0.315,0.5475,0.6375,0.7525,13,20,0.11149999999999999,0.6351157426834106,0.46903262783715444
400,0.7,heldout,nan,nan,nan,nan,0,20,nan,nan,nan
400,0.9,aggregate,0.145,0.3425,0.44,0.5925,11,20,0.11199999999999999,0.7182859182357788,0.4895287955002309
400,0.9,heldout,nan,nan,nan,nan,0,20,nan,nan,nan
