method,K,alpha,scope,median,mean,p25,p75,p90,min,max,pct_rank_eq_1,pct_rank_le_10
FGW transitive (identity bridge),10,0.0,aggregate,150.5,166.18,72.5,263.25,326.20000000000005,2,399,0.0,0.0325
FGW transitive (identity bridge),10,0.0,heldout_like_c,196.5,191.73333333333332,95.5,289.5,317.70000000000005,2,383,0.0,0.06666666666666667
FGW transitive (identity bridge),10,0.3,aggregate,134.0,151.0625,54.75,230.25,311.60000000000014,1,399,0.005,0.05
FGW transitive (identity bridge),10,0.3,heldout_like_c,128.5,160.0,92.75,216.0,307.20000000000005,4,390,0.0,0.03333333333333333
FGW transitive (identity bridge),10,0.5,aggregate,126.5,143.4625,53.0,219.0,297.0,1,400,0.0075,0.055
FGW transitive (identity bridge),10,0.5,heldout_like_c,146.0,156.9,74.25,235.5,291.30000000000007,7,387,0.0,0.03333333333333333
FGW transitive (identity bridge),10,0.7,aggregate,119.5,136.765,49.0,207.25,277.20000000000005,1,400,0.0075,0.0575
FGW transitive (identity bridge),10,0.7,heldout_like_c,144.0,157.1,75.75,244.75,280.70000000000005,6,371,0.0,0.03333333333333333
FGW transitive (identity bridge),10,0.9,aggregate,111.5,133.045,47.75,205.25,280.0,2,397,0.0,0.05
FGW transitive (identity bridge),10,0.9,heldout_like_c,118.5,141.83333333333334,89.5,207.75,268.0,4,310,0.0,0.03333333333333333
FGW transitive (identity bridge),20,0.0,aggregate,105.5,137.95,45.75,207.0,318.20000000000005,1,400,0.01,0.055
FGW transitive (identity bridge),20,0.0,heldout_like_c,89.0,127.46666666666667,42.25,202.25,276.9000000000001,4,395,0.0,0.06666666666666667
FGW transitive (identity bridge),20,0.3,aggregate,106.5,129.1825,41.0,186.5,296.0,1,396,0.0075,0.06
FGW transitive (identity bridge),20,0.3,heldout_like_c,80.0,121.13333333333334,40.25,211.25,261.5,4,392,0.0,0.1
FGW transitive (identity bridge),20,0.5,aggregate,105.0,125.8725,42.0,179.0,286.30000000000007,1,384,0.0075,0.0675
FGW transitive (identity bridge),20,0.5,heldout_like_c,109.0,125.9,48.0,183.75,265.1000000000001,4,384,0.0,0.1
FGW transitive (identity bridge),20,0.7,aggregate,104.0,123.7825,42.0,179.25,275.1,1,376,0.005,0.08
FGW transitive (identity bridge),20,0.7,heldout_like_c,136.5,135.36666666666667,36.5,183.25,279.6000000000001,4,368,0.0,0.1
FGW transitive (identity bridge),20,0.9,aggregate,104.5,124.3575,44.0,187.25,257.70000000000016,1,394,0.005,0.06
FGW transitive (identity bridge),20,0.9,heldout_like_c,120.5,132.06666666666666,69.0,198.0,266.90000000000003,5,346,0.0,0.13333333333333333
FGW transitive (identity bridge),50,0.0,aggregate,94.0,116.325,32.5,179.5,260.20000000000005,1,399,0.0225,0.0975
FGW transitive (identity bridge),50,0.0,heldout_like_c,106.0,149.0,62.75,236.25,305.40000000000003,8,388,0.0,0.03333333333333333
FGW transitive (identity bridge),50,0.3,aggregate,88.5,112.6825,31.0,171.0,257.30000000000007,1,400,0.0225,0.105
FGW transitive (identity bridge),50,0.3,heldout_like_c,121.5,152.7,55.5,258.5,296.8,8,391,0.0,0.03333333333333333
FGW transitive (identity bridge),50,0.5,aggregate,85.5,110.4675,31.75,171.0,258.0,1,400,0.02,0.1025
FGW transitive (identity bridge),50,0.5,heldout_like_c,125.0,150.96666666666667,53.0,246.0,299.3,8,377,0.0,0.03333333333333333
FGW transitive (identity bridge),50,0.7,aggregate,84.5,109.8975,30.0,170.0,259.20000000000005,1,400,0.0125,0.0925
FGW transitive (identity bridge),50,0.7,heldout_like_c,127.0,138.26666666666668,50.75,205.25,287.40000000000003,10,328,0.0,0.03333333333333333
FGW transitive (identity bridge),50,0.9,aggregate,93.5,116.655,34.75,173.5,256.1,1,399,0.0075,0.08
FGW transitive (identity bridge),50,0.9,heldout_like_c,112.0,126.6,61.25,178.75,249.70000000000002,8,313,0.0,0.06666666666666667
FGW transitive (identity bridge),100,0.0,aggregate,51.5,82.175,11.0,120.25,235.10000000000002,1,395,0.0725,0.235
FGW transitive (identity bridge),100,0.0,heldout_like_c,74.0,112.7,36.5,178.75,266.3,3,379,0.0,0.06666666666666667
FGW transitive (identity bridge),100,0.3,aggregate,48.0,80.2025,12.0,115.0,227.10000000000002,1,389,0.0675,0.235
FGW transitive (identity bridge),100,0.3,heldout_like_c,67.5,118.1,31.0,194.75,282.0,3,389,0.0,0.06666666666666667
FGW transitive (identity bridge),100,0.5,aggregate,48.0,80.305,12.0,106.5,222.30000000000007,1,392,0.0625,0.22
FGW transitive (identity bridge),100,0.5,heldout_like_c,73.0,120.3,32.25,184.0,283.3,4,392,0.0,0.03333333333333333
FGW transitive (identity bridge),100,0.7,aggregate,52.5,83.46,14.75,123.0,229.30000000000007,1,386,0.0525,0.1975
FGW transitive (identity bridge),100,0.7,heldout_like_c,66.0,112.46666666666667,31.25,146.75,286.3,4,386,0.0,0.03333333333333333
FGW transitive (identity bridge),100,0.9,aggregate,66.0,98.14,23.0,153.75,245.10000000000002,1,372,0.0175,0.135
FGW transitive (identity bridge),100,0.9,heldout_like_c,74.0,111.53333333333333,39.75,171.0,249.4,5,335,0.0,0.1
FGW transitive (identity bridge),160,0.0,aggregate,25.0,62.81,5.0,91.0,193.20000000000005,1,364,0.1375,0.3525
FGW transitive (identity bridge),160,0.0,heldout_like_c,65.0,93.6,27.25,107.0,246.70000000000007,3,345,0.0,0.1
