method,K,alpha,scope,p,nucleus_hit,nucleus_mean_size
FGW transitive (identity bridge),300,0.0,aggregate,0.5,0.393,2.2
FGW transitive (identity bridge),300,0.0,heldout_like_c,0.5,0.100,2.9
FGW transitive (identity bridge),300,0.0,aggregate,0.9,0.578,8.8
FGW transitive (identity bridge),300,0.0,heldout_like_c,0.9,0.200,13.4
FGW transitive (identity bridge),300,0.3,aggregate,0.5,0.395,3.2
FGW transitive (identity bridge),300,0.3,heldout_like_c,0.5,0.133,4.6
FGW transitive (identity bridge),300,0.3,aggregate,0.9,0.625,16.1
FGW transitive (identity bridge),300,0.3,heldout_like_c,0.9,0.333,22.7
FGW transitive (identity bridge),300,0.5,aggregate,0.5,0.430,5.2
FGW transitive (identity bridge),300,0.5,heldout_like_c,0.5,0.200,7.6
FGW transitive (identity bridge),300,0.5,aggregate,0.9,0.680,28.7
FGW transitive (identity bridge),300,0.5,heldout_like_c,0.9,0.400,39.8
FGW transitive (identity bridge),300,0.7,aggregate,0.5,0.470,12.0
FGW transitive (identity bridge),300,0.7,heldout_like_c,0.5,0.267,15.9
FGW transitive (identity bridge),300,0.7,aggregate,0.9,0.772,60.4
FGW transitive (identity bridge),300,0.7,heldout_like_c,0.9,0.600,77.2
FGW transitive (identity bridge),300,0.9,aggregate,0.5,0.550,49.3
FGW transitive (identity bridge),300,0.9,heldout_like_c,0.5,0.467,57.4
FGW transitive (identity bridge),300,0.9,aggregate,0.9,0.892,170.7
FGW transitive (identity bridge),300,0.9,heldout_like_c,0.9,0.967,184.3
Random baseline,0,nan,aggregate,0.5,0.315,117.9
Random baseline,0,nan,heldout_like_c,0.5,0.367,117.9
Random baseline,0,nan,aggregate,0.9,0.685,274.2
Random baseline,0,nan,heldout_like_c,0.9,0.833,273.9
